Id;Disc_id;Paragraph
;;
1904820;1;RDTs are generally useful for diagnosing malaria infection [3 5]. However, the sensitivity of RDTs depends upon the species of malaria parasite. The highest sensitivity was observed for P. falciparum malaria (78.8 99.1%) [5, 11, 15 18], followed by P. vivax malaria (77.6 96%), P. ovale malaria (18.4 80.0%), and P. malariae malaria (21.4 47.0%) [3 5, 19, 20]. For non-falciparum malaria, RDT sensitivity was particularly low for P. ovale and P. malariae, a finding that may be attributable to the low parasitemia [3 5], the difference in targeted antigens [6, 9, 10], or the genetic variability between the infected parasites [21, 22].
1904820;2;Low parasitemia was associated with false-negative results from the RDTs regardless of malaria species [4, 5]. Moreover, since reinfection and semi-immune status generally cause low parasitemia [23], those influences need to be eliminated. Travellers who visiting families and relatives and expatriates living in malaria endemic areas were excluded from our study because they were at a higher risk of reinfection. The parasitemia in P. ovale malaria was consequently as low as that in immune patients and was significantly lower than that in P. vivax malaria. This finding, along with those in previous reports [23], suggests that P. ovale malaria presents with low parasitemia even in non-immune travellers, which may result in false-negative results from the RDTs. As mentioned above, P. malariae and P. ovale malaria may be difficult to diagnose by RDTs due to the low parasitemia [7, 8, 11]. Recently, Houz  et al. [24] reported that the new RDT, Clearview, has improved sensitivity for P. malariae malaria but that the sensitivity for P. ovale malaria was not improved. Moreover, even a case of P. ovale malaria with relatively high parasitemia (21,150 parasites/?L) resulted in a false-negative RDT result in their study, implying some reason for false-negative results other than low parasitemia in P. ovale malaria. The difference in target antigens from parasites, such as HRP2 and PfLDH for P. falciparum or pLDH and aldolase for pan-malaria species, can also influence the sensitivity of RDTs [6]. Detecting P. ovale and P. vivax, two RDTs (BN for aldolase detection and SDMA for pLDH detection) were used in our study. SDMA showed relatively good sensitivity for both P. vivax and P. ovale as compared to BN, probably because pLDH-based RDTs generally perform better than aldolase-based RDTs [20]. Bigaillon et al. [6] also reported the ineffectiveness of BN in detecting P. ovale malaria, which they suggested was due to low aldolase production by P. ovale malaria [10]. Aldolase-based RDTs generally show low sensitivity not only for P. ovale malaria but also for other types of malaria [9], but low sensitivity was also observed for pLDH-based RDTs [10 12, 16, 17, 24]. Although the genetic variability of HRP2 was related to the low sensitivity of RDTs for P. falciparum malaria [21], it was reported that the genetic variability of pLDH [22] and aldolase [25, 26] did not explain the relatively poor performance of RDTs for the detection of P. falciparum, P. vivax, and P. malariae. Talman et al. [22] reported that P. ovale exhibited three different types of amino acid sequence (named O1, O2 and O3), whichmay contribute to the relatively poor detection of P. ovale. The sensitivity of RDTs is still insufficient for accurate diagnosis of P. ovale malaria regardless of the type of antigens. Therefore, microscopic examination is preferable for the definitive diagnosis of P. ovale malaria. The sensitivity of RDTs was not high enough to accurately diagnose P. ovale malaria in Japanese travellers who were never infected with malaria previously. Thus, microscopic examination is required to ensure that P. ovale malaria is not overlooked.
359836;1;This analysis applied 18-month follow-up data from a Phase III clinical trial to estimate the potential public health impact of the RTS,S candidate malaria vaccine in 42 malaria-endemic countries in sub-Saharan Africa using a cohort model. Two vaccination strategies were considered, with doses administered either at 6, 10 and 14 weeks (corresponding to adding the RTS,S vaccine to the EPI schedule) or at 6, 7-and-a-half and 9 months. Each strategy was compared with no vaccination to estimate the expected impact of RTS,S vaccination on averting clinical malaria cases, severe cases, malaria hospitalizations and malaria deaths in a birth cohort followed to the age of 10 years. Vaccination at age 6, 10 and 14 weeks would be expected to avert over five million cases of clinical malaria, 119,000 severe malaria cases, 98,600 malaria hospitalizations and 31,000 malaria deaths. Vaccination at age 6, 7-and-a-half and 9 months would be expected to avert almost 12.5 million cases of clinical malaria, 250,000 severe malaria cases, 208,000 malaria hospitalizations and 65,400 malaria deaths. The wide CIs reflect the combination of heterogeneity and uncertainty allowed for by the stochastic process in the model. The greatest uncertainty is around the impact on mortality.
359836;2;After calibration, the model-predicted results closely matched the incidence of malaria observed in the control arm of the Phase III trial, and the published age distribution of malaria cases [14]. However, when extrapolating at the country level, the modelled estimates for the number of clinical malaria cases and malaria deaths were larger than the estimates for 2010 in the WHO World Malaria Report 2012, which estimated the number of clinical malaria cases in the WHO Africa region in all age groups at 174 million (upper bound 242 million), and the number of malaria deaths at 596,000 (upper bound 772,000) [26]. Possible reasons for the differences are The model is calibrated to the incidence of clinical malaria in the control arm of the Phase III trial based on the secondary case definition (parasite density of >0 and presence of fever). It may be possible that the secondary case definition would have captured cases of fever due to other illnesses and the malaria parasites observed were present as a co-morbidity rather than the primary cause. The primary case definition (parasite density of >5000 and presence of fever) would be more specific and lead to a reduction of estimates by 35 %. Estimated malaria episodes from WHO World Malaria report may not sufficiently adjust for under-reporting, although a correction factor is used; The model estimated malaria incidence based on reported proportion of children within categories of parasite prevalence from the MAP project. If this proportion varies over the year or the force of infection varies within a category, this is not captured by the model. Finally, the case-fatality rate for severe cases not treated in hospital is subject to a large uncertainty. An estimate from Thwing et al. [22] is applied in the model but this factor has a large impact on malaria mortality estimates (see Fig. 5a, b). However it should be noted that clinical vaccine efficacy does not change with the primary or secondary case definition.
359836;3;Obtaining a realistic estimate of the number of severe malaria cases and malaria hospitalizations is important as these outcomes contribute to understanding the health burden of malaria. However, available data are limited and generally relate to populations with access to treatment. For example, the Phase III trial was conducted in settings where all patients had access to a high level of care. It was found that about half of the patients hospitalized with malaria met the case definition for severe malaria (parasite density <5000), which is similar to the value reported in a study of hospitalized patients in Tanzania, where 4261 patients of the 9337 with positive blood slides had severe disease (46 %) [20]. However, neither of these studies could provide data on the fraction of severe malaria cases that did not result in hospitalization, or on the risk of severe malaria developing in patients without access to treatment. The present analysis attempted to adjust for limited access to prompt and high-quality treatment for uncomplicated cases and limited access to hospitalization for severe cases.
2052982;1;A rapid diagnostic test based on the detection of P. falciparum specific HRP-2 antigen is one of the few diagnostic tools available for health care workers in many resource limited settings in malaria endemic settings to assist them in differentiating between malaria fever and other causes of fever in many malaria. As previously reported, HRP-2 based RDTs displayed a low specificity (59%) in the current study area [18]. This low specificity of HRP2 based RDT was also reported in other malaria endemic areas [13, 26,27,28]. Therefore, expert microscopy was performed in the present study in the central laboratory of CRUN to further determine (by cross-checking) whether antimicrobials were appropriately prescribed by the attending health care staff. Despite the good attitude of health care workers to nearly always use malaria RDT in case of a febrile patient and act accordingly to the result of diagnostic testing (92.89 of adherence of health care workers to malaria RDT), the prescription of antimalarials is affected by the performance of the malaria RDT used in the study area [23]. Due to the persistence of HRP2 antigen after successful antimalarial treatment, malaria infection is overestimated (as a result of a false positive RDT) leading to an inappropriate prescription of antimalarials [13,14,15,16]. Furthermore, even if the diagnosis malaria was established by RDT, there was a tendency to prescribe antibiotics next to antimalarials too. Moreover, and even worse, the prescription of antibiotics becomes almost systematic when a malaria infection could be excluded. The majority of outpatients were visiting the rural health facilities where there is a lack of laboratory facilities that can confirm the actual cause of infection and this explains the inappropriate prescription of antibiotics at this level. In contrast, at the level of the referral hospital these facilities are available, but there the attending hospital health care workers might not feel confident to postpone antibiotic treatments in febrile children until the microbiology results become available in fear of treating a potentially life threating, but treatable, bacterial infection too late or overlooking such an infection. Given the fact that health care workers tend to adhere well to malaria RDT results as reported in our study area [this study and previous study by Ruizendaal et al. [29], it is most probable that health system may be able to deal with the problem of inappropriate prescription of antibiotics as long as the health care workers get the appropriate diagnostic tools. Therefore, the development of (near) point-of-care tests to screen for other causes of fever becomes essential to guide appropriate antibiotic prescriptions.
2052982;2;The inappropriate prescription of antibiotics and antimalarial treatments observed in the present study could be a consequence of the rightful fear of health care workers to miss a treatable bacterial infection. Indeed, a significant number of potentially treatable etiologies were missed in the present study and others [18, 30]. Despite the tendency of systematic prescription of antibiotics to febrile children, an important number of children with bacterial infections did not receive appropriate treatment mainly at the referral hospital at the first contact compared to the rural health facilities. This observation can be explained by the availability at referral hospital of equipped laboratory allowing for a better diagnostic compared to health facilities where malaria RDT is the only diagnostic tool available. Moreover, in Burkina Faso, nurses working at health facilities are responsible for the primary management of patients, while at the referral hospital there are medical doctors who are better trained to make a specific prescription. The fear to overlook a potential bacterial infection by sending a sick child back home without prescribing medication leads to the antibiotic prescriptions to an important part of febrile children without bacterial infections. This tendency of systematic prescription of antibiotics to febrile children is considered in many setting to be more a social and behavioral issue than a medical problem [31]. To tackle this problem, there is a need to evaluate and understand the context in which the (over) prescriptions occur. Moreover, more diagnostic tools should become available that can be implemented in resource limited settings that can aid proper antibiotics prescriptions and thereby reducing the risk of inappropriate prescription and of emerging of antibiotic resistance. Antiparasitics drugs were not much prescribed in this study. Based on the laboratory findings, there was a high under-prescription of antiparasitics as actually a significant number of febrile children who actually had gastro-intestinal parasites did not receive appropriate treatment. Most likely, the more obscure symptoms associated with a parasitic gastro-intestinal infection, which in most cases do not cause fever, are probably overlooked in favor of other febrile etiologies that are more readily diagnosed.
2052982;3;Despite the recommendation of the WHO to treat all children with a positive malaria RDT or microscopy result, few cases (4.52%) of febrile children who had a malaria positive RDT did not receive antimalarials. The reason for this non adherence was not assessed in the present study. Possibly, complementary information on previous drug use provided by the parents/guardians to the attending nurses suggested that these children did not require antimalarial prescriptions and that the RDT were positive in these cases was interpreted as a consequence of persisting HRP2 antigen (up to 4 weeks or even more) after successful treatment for malaria [13,14,15,16]. In contrast, 14% of the children with a malaria RDT negative result still received antimalarial prescriptions. It has not been determined in the present study what the rationale was behind this non-compliance. This lack of adherence to the protocols in place for the management of malaria has also been reported elsewhere [32]. Therefore, it is of utmost importance to further study the motivation of health care workers to not adhere to this protocol recommended by the WHO and the National Malaria Control Program (NMCP) and this should preferably be done, in combination with to further training and education of the health practitioners. A possible limitation of our study could be the lack of confirmation of pneumonia cases presumptively diagnosed by health care workers. Although the nasopharynx of some children was colonized by common bacterial pathogens, such as Staphylococcus aureus and Streptococcus pneumoniae, a relation of their presence with ongoing fever has not been established [22]. Therefore, it might be possible that some of these children did not have pneumonia. Moreover, RTI are the second cause of fever diagnosed presumptively by health facility nurses after malaria in the present study. The WHO guideline recommends the prescription of antibiotics to children with (suspected) pneumonia but not to children with acute bronchitis [1, 20, 33, 34]. In the present study, a radiological confirmation of pneumonia could not be done in children suspected of RTI, because this diagnostic technology is was not available at the participating health centres. Another possible limitation of the present research is the potential under-diagnosis of the number of UTI and GII cases as some urine and stool samples were not collected during recruitment. Finally, viral etiologies are known to be responsible for a significant number of fever episodes in children [17, 35, 36], but these were not studied in the present study as the CRUN laboratory does not have facilities to perform virus identification. Although viral febrile infections do not need antibiotic treatment, they can also be a cause of over prescriptions as there is fear of overlooking potential bacterial infections. A rapid diagnostic test (or combination of tests) that can broadly differentiate between bacterial and viral infections would be very helpful in this respect [37,38,39].
1904879;1;A prevalence of 27.7% for malaria was observed by microscopy in this study population. This prevalence was similar to the 29.6% reported by Apinjo et al. [28] in children <?15?years of age in the South West Region of Cameroon. On the contrary, higher prevalence of 46.7% and 36.9% in children less than 15?years has been reported in other areas in the Mount Cameroon area [2]. Besides a decline in prevalence, this study also observed a remarkable fall in geometric mean parasite density from 2131 parasites/?L [25] to 187 parasites/?L in this population. Similarly, the proportion of febrile children in this population was 3.4% and has also experienced substantial decrease from 27.1% [25] in Dibanda and 41.9% [34] in different communities of the Mount Cameroon area. The decline in morbidity in the study area is not surprising because recently, Dibanda has been experiencing urban transformation from a farm land site/village setting into a settlement area  new layout.  Various authors have postulated that increased urbanisation reduces the number of breeding places for Anopheles mosquitoes and consequently malaria transmission [35, 36]. Also, in Dibanda, there is a general change in house type from predominantly plank houses [28] to cement block houses which may have played a role in curbing the disease burden. It has been reported that a plank house has crevices for mosquito entry [37] and provides a favourable microenvironment for mosquitoes [38]. In addition, the decrease in malaria morbidity could also be the result of sustained control measures as reported by WHO [2] and Sumbele et al. [4]. Malaria prevalence was higher in females than males by microscopy and the findings are in line with Kimbi et al. [32] who reported that females spend more time outdoors at dusk and dawn than males to perform household chores and as such are more exposed to mosquito bites. It is not surprising that children under 5 years had the highest parasitaemia when compared with the older children. Children under 5 years are more vulnerable to the disease in areas of high transmission [2, 30, 34] as naturally acquired immunity builds up in older children following repeated exposure to the parasite. In line with the findings of Ebai et al. [34] in other parts of the Mount Cameroon area, children from individuals with no formal or with primary education were more infected with the malaria parasite than those with secondary or tertiary education. Higher levels of education are generally associated with improved knowledge and practices in relation to appropriate prevention and treatment strategies. The high prevalence of anaemia (72.7%) in children less than 15?years is not an uncommon finding in this part of the country, and this highlights anaemia as a major public health problem among the population in this area. The relationship between malaria parasitaemia and anaemia is well established in previous studies [2, 30, 39]. However, findings in the area [30] reported a low risk of anaemia attributable to malaria highlighting the insidious and important contribution of other inflammatory infections or diseases which were not investigated in the study.
