Id|Res_id|Paragraph
||
1904820|1|Microscopic examination was performed for diagnosis in all of the malaria cases. A total of 153 cases of malaria were observed between January 2004 and June 2013, 113 of which were found among Japanese travellers. Of the latter, there were 78 cases of P. falciparum malaria (including 1 case of co-infection with P. malariae malaria and 1 case of co-infection with P. vivax malaria confirmed by PCR), 22 cases of P. vivax malaria (including 1 case of co-infected with P. falciparum malaria confirmed by PCR), 11 cases of P. ovale malaria, 3 cases of P. malariae malaria, and 1 case of P. knowlesi malaria. RDTs were performed in 67, 21, 10, 2, 1 and 2 cases among the mono-infection cases of P. falciparum malaria, P. vivax malaria, P. ovale malaria, P. malariae malaria, P. knowlesi malaria and co-infection cases, respectively. The cases confirmed by PCR were 11, 19, 10, 3 and 1 cases in P. falciparum malaria, P. vivax malaria, P. ovale malaria, P. malariae malaria and P. knowlesi malaria, respectively (Table ?(Table11).
1904820|2|We focused on a comparison of P. ovale malaria mono-infection cases and P. vivax malaria mono-infection cases. There were 10 cases of P. ovale malaria (mean age, 27.8 years; male-to-female ratio, 2.3:1) and 18 cases of P. vivax (mean age, 29.8 years; male-to-female ratio, 2.6:1). These patients constituted the final study population. The results of RDTs were evaluated for 9 patients with P. ovale malaria and 17 patients with P. vivax malaria (excluding 1 co-infected case). Among the 18 cases of P. vivax malaria, 13 (72.2%) had been infected in Asia, 4 (22.2%) in South America, and 1 (5.6%) in Africa (Republic of Rwanda) (Table ?(Table2).2). All of the 10 cases of P. ovale malaria had been infected in Africa (Table ?(Table3).3). The average parasitemia in the cases of P. ovale malaria was significantly lower than that in P. vivax malaria (P = 0.002). The sensitivity of RDTs for P. ovale malaria was also significantly lower than that for P. vivax malaria (P < 0.001). The sensitivity of SDMA for P. vivax malaria and P. ovale malaria was 100% (7/7) and 50% (2/4), respectively. The sensitivity of BN for P. vivax malaria was 90.0% (9/10), but it was ineffective in detecting the cases of P. ovale malaria (0/5; Table ?Table4).4). There were only 3 cases of P. malariae malaria, one of which showed co-infection with P. falciparum. The other 2 cases of P. malariae malaria were mono-infection of P. malariae. In the mono-infection cases, one case of P. malariae malaria showed a positive line detecting pLDH of SDMA while the other case showed a positive line detecting aldolase of BN.
359836|1|Figure 2 shows the incidence of clinical malaria over the 18-month follow-up period observed in the control arm of the Phase III trial and estimated by the model, for each age group and each transmission level. The modelled results matched the trial results closely, although some differences appeared mainly in the infant age group for the low transmission category and in the older age group for moderate and high transmission. The model mostly underestimates the malaria incidence observed in the trial for the 5 to 17-month group. Table 4 shows the number of clinical malaria cases and the percentage of severe malaria cases observed in the control and vaccine arms of the Phase III trial and predicted by the model. The modelled results matched well with the data (error in acceptable 10 % area) in the age group vaccinated at age 6 12 weeks although in the vaccine arm the model provided more severe cases than the trial (+23 %). In the age group vaccinated at 5 17 months the data were more difficult to reproduce because of the lower number of cases estimated in moderate and high transmission settings. The model tended to underestimate the burden of malaria compared with the observed data from the trial in the 5 17 months as pointed out in Table 4. The age distribution of malaria cases predicted by the model matched well with the age distribution published by Carneiro et al. [14] for clinical cases (Fig. 3a) and severe cases (Fig. 3b).
359836|2|Table 5 shows the estimated impact of adding RTS,S vaccination with doses administered at age 6, 10 and 14 weeks or 6, 7-and-a-half and 9 months in 42 African countries and eight specific countries (see Additional file 3: Table S1 for results in each country). The estimates were based on vaccinating the birth cohort in 2017 and following them for 10 years, assuming no change in malaria transmission. Vaccination at age 6, 10 and 14 weeks would be expected to avert almost five million cases of clinical malaria, 119,000 severe malaria cases, 98,600 malaria hospitalizations and 31,000 malaria deaths. Vaccination at age 6, 7-and-a-half and 9 months would be expected to avert almost 12.5 million cases of clinical malaria, 250,400 severe malaria cases, 208,000 malaria hospitalizations and 65,400 malaria deaths. Therefore the higher efficacy obtained in five to 17-months age group would overcome the lower coverage with vaccination starting at 6 months (75 % of DTP3). Table 6 shows these estimated impact data expressed per 100,000 vaccinees. Countries with high malaria transmission, such as Nigeria and Burkina Faso, generally had higher values than countries with lower malaria transmission, such as Kenya. In Kenya more than 75 % of the population is not exposed or exposed to low levels of malaria transmission (i.e., with parasite prevalence below 5 % in children of 2 10 years old) while 7 % would experience high malaria transmission (i.e., with parasite prevalence above 40 % in children of 2 10 years old). Exposure levels are also variable in Tanzania with about 45 % of the population in low transmission areas versus 12 % experiencing high levels of transmission. This suggests that the projected impact of vaccination increases with transmission even if the relative percentage of events averted is predicted to decrease with transmission. Vaccination at age 6, 7-and-a-half and 9 months generally resulted in higher values than vaccination at age 6, 10 and 14 weeks, reflecting the higher vaccine efficacy in the older age group. Over the 42 African countries it is estimated that 2019 (?3652; 6341) cases of neurological sequelae would be averted with vaccination at the age of 6, 10 and 14 weeks and 4258 (?7; 8191) cases of neurological sequelae with vaccination at the age of 6, 7-and-a-half and 9 months.
359836|3|Figure 4 shows the estimated percentage of clinical malaria cases averted when adding RTS,S vaccination at age 6, 10 and 14 weeks and at age 6, 7-and-a-half and 9 months in low, moderate and high transmission categories. Addition of RTS,S would be expected to reduce the incidence of clinical malaria in a higher proportion for low transmission than higher transmission settings. The benefit would be expected to occur in the first 1 4 years, and the model predicted a small increase in later years in high transmission areas, reflecting delayed development of natural immunity. This appears in the reduction of proportion of events averted in children less than 10 years of age compared with children under 5 years of age.
2052982|1|A total of 1099 children were included in the study. During the analysis it became apparent that information on one malaria RDT result and two malaria slide readings were missing and these were considered as missing data for the analysis. Malaria was the most frequently infection diagnosed by nurses by malaria RDT in 72.68% (798/1098) of febrile children, but only 53.69% (589/1097) of febrile children could be confirmed by expert microscopy. The second commonest cause of fever diagnosed by heath facilities nurses were respiratory tract infections (RTI) [bronchiolitis 9.2%(101/1099), pneumonia 14.47% (159/1099), other RTI 14.10% (155/1099)]. The characteristics of study population are presented in Table 1. A small percentage of the febrile children who received antimalarial prescription got first an injectable antimalarial (artesunate or artemether) followed by artemisinin-based combination therapy (artemether lumefantrine or artesunate amodiaquine) for subsequent home treatment 2.11% (17/805). The majority of malaria treatment 97.88% (788/805) was artemisinin-based combination therapy as previously mentioned. For the antibiotic prescriptions, 14.58% (125/857) and 1.17% (10/857) have received respectively 2 and 3 antibiotic prescriptions, and 84.24% (722/857) received a single prescription. All antiparasitics were single prescriptions (Table 2).
2052982|2|Table 3 presents the risk of antimicrobial prescriptions according to malaria RDT results during the study period. It is evident that rural health facilities as well as the referral hospital were likely to prescribe an antimalarial in case of a positive malaria RDT, as recommended by WHO, compared to negative tested cases. Antibiotics were likely to be prescribed to negative malaria RDT. The adherence rate of the health care workers to the result of the malaria RDT-PfHRP2 was 92.89% (1020/1098: 762 malaria RDT positive patients received an antimalarial treatment and 258 malaria RDT negative cases did not receive an antimalarial treatment). However, if malaria expert microscopy is considered as gold standard, the risk for febrile children tested with RDT-PfHRP2 to have their initial antimalarial prescription affected (modified) was statistically significant (RR?=?7.74, p?=?0.00001). Moreover, the likelihood of antibiotic prescription in case of a negative malaria RDTs was 3 times higher compared to positive malaria RDTs and statistically significant (RR?=?3.57, p?<?0.0001). It is apparent from Table 4 that the health care workers at the rural health facilities were more likely to prescribe antimicrobials to children who tested positive for malaria by RDT (antimalarial?=?96.11%; antibiotics?=?75.20%; antiparasitics?=?18.63%) than at the level of the referral hospital (antimalarial?=?93.37%; antibiotics?=?62.98%; antiparasitics?=?1.65%). Furthermore, the nurses in the rural health facilities were more likely to prescribe antibiotics (97.86%) and antiparasitics (26.73%) to children who tested negative by malaria RDT than attending health staff at the referral hospital (antimalarial?=?84.07%; antiparasitics?=?2.65%), except for malaria treatments (rural health facilities?=?7.48%; referral hospital?=?24.77%). As an overall trend it was found that the risk of prescribing antimalarial as well as antibiotic and antiparasitic to children with a positive malaria RDT compared to children with negative malaria RDT was higher in health facility compared to referral hospital. The risk of prescribing antimalarial in positive tested patients compared to negative malaria RDTs was 8.01 (95% CI 5.51 11.66, p?=?0.00001) and 6.93 (95% CI 4.07 11.81, p?=?0.00001) for the rural health facility and referral hospital, respectively. The risk of prescribing antibiotic in case of negative malaria RDT compared to RDT positive was 11.10 (95% CI 4.18 29.43, p?=?0.00001) in health facility and 2.14 (95% CI 1.38 3.32, p?=?0.00001) in referral hospital.
2052982|3|By cross-checking the laboratory findings (actual cause of disease) with the antimicrobials prescribed by health care workers based on the routine practice (based on the national guideline for the treatment of childhood diseases), it is evident that a large part of the febrile children who received an antibiotic prescription did actually not need such a treatment. It was that at the rural health facilities all children with a positive bacterial bloodstream infection (bBSI) (25/25) or urinary tract infection (UTI) (8/8) and 80.39% (41/51) with bacterial gastro-intestinal infection (bGII) based to laboratory results did actually receive antibiotic prescriptions. But also 93.98% of the febrile children without any infection (confirmed by laboratory testing) in the present study too actually received antibiotic prescriptions. In contrast, at the referral hospital only 75% (30/40) of children with positive bBSI, 64.28% (9/14) with bGII and 100% (3/3) with UTI did actually receive antibiotic prescription. Moreover, 86.04% (74/86) of febrile children without (laboratory confirmed) infection did also got antibiotic prescriptions (Table 5).
1904879|1|The baseline characteristics of the study population are shown in Table 1. A total of 491 children aged between 6?months and 14?years participated in the study. There were more females (55.6%) than males (44.6%), and most of the participants were less than 5?years (43.6%) old. A greater proportion of parents/caregivers of the children had a primary level of education (51.8%) followed by those with secondary school education (31.6%). The proportion of children who slept under a long-lasting mosquito net the previous night before the survey was 62.3%. On microscopic examination, P. falciparum infection was present in 27.7% of the children, while using RDT, malaria was diagnosed in 39.7% of participants. Fever and anaemia were observed in 3.7% and 72.7% of the children, respectively. The prevalence of falciparum malaria among the 491 children varied with sex as shown in Table 2. By microscopy, malaria parasite prevalence was higher in females (31.9%) than males (22.5%) and the difference was significant at P?=?0.021, whereas by RDT, the difference in prevalence of malaria parasite between males (35.8%) and females (42.9%) was not statistically significant (P?=?0.111). Conversely, the geometric mean parasite density (GMPD) was significantly higher (P?=?0.025) in males (218 parasites/?L of blood) than females (172 parasites/?L of blood). A significant difference in P. falciparum infection by microscopy (P?=?0.002) and RDT (P?=?0.001) was observed with age, with the ??4?years age group having the highest malaria prevalence (31.9% by microscopy and 47.4% by RDT), followed by the 5 8?years age group (29.9% by microscopy and 38.1% by RDT) and least by the ??9?years age group (11.9% by microscopy and 23.8% by RDT). In addition, children ??4?years of age had the highest GMPD (224/?L of blood), followed by the 5 8?years age group (159/?L of blood) and lastly the 9?years age group (141/?L of blood). In both microscopy and by RDT, the prevalence of P. falciparum infection was highest in children whose parents had no formal level of education (63.2% by microscopy and 57.4% by RDT), while children whose parents had tertiary level of education had the least prevalence (9.0% by microscopy and 14.1% by RDT), and the difference was significant at P?<?0.001 and P?<?0.001 respectively (Table 2). Children who used mosquito bed net had a significantly lower P. falciparum infection prevalence (15.4% by microscopy and 35.6% by RDT) when compared with children who did not use a bed net (48.4% by microscopy and 46.7% by RDT). P. falciparum infection prevalence was significantly higher by microscopy (P?=?0.039) and RDT (P?<?0.001) in children with anaemia (30.3% by microscopy and 44.5% by RDT) than those non-anaemic (20.9% by microscopy and 26.9% by RDT) as shown in Table 2.
