doc_id,discussion_id,text
1421389,0," HSV-1 encephalitis usually presents fulminantly in immunocompetent individuals with fever, altered mental status, seizures, CSF and EEG findings, and temporal lobe lesions on MRI. Our patient's illness began with recurrent herpes simplex labialis, which spread to the left trigeminal nerve and left L5 nerve root over the course of four weeks. Besides her dysesthesias, her symptoms included headache, low-grade fever, weight loss, mild personality change and short-term memory loss, which were no longer exhibited on presentation. Her CSF contained mildly elevated levels of lymphocytes (WBC: 6 cells/μL), erythrocytes (RBC: 63 cells/μL), and protein (49 mg/dL); owing to the fact that cell counts were taken from the fourth tube collected, the probability of a traumatic lumbar puncture is low. Beyond her MRI findings of peri-ventriculitis and basal meningitis particularly over the brainstem, our patient had no temporal lobe abnormalities, although approximately 10% of patients with PCR-proven HSV encephalitis do not demonstrate temporal lobe involvement. In addition, other cases of brainstem encephalitis due to HSV have been reported with viral reactivation possibly occurring in the trigeminal nerve (relevant references are available upon request from the corresponding author). Regarding involvement of white matter, other cases of extratemporal HSV encephalitis have also shown this pattern on neuroimaging, particularly during chronic or subacute phases of illness; often being associated with clinical relapse and viral persistence; and sometimes showing demyelination in addition to edema, inflammatory change, and viral inclusions on a microscopic level (relevant references are available upon request from the corresponding author). Overall, our patient's clinical presentation, borderline pleocytosis in the CSF, and extratemporal findings on MRI were consistent with a more subacute course of HSV-1 encephalitis proven by PCR, presumably due to immunosuppression from CLL. "
1421389,1," Patients with CLL often manifest hypogammaglobulinemia and neutropenia early in the course of the disease, with eventual T cell deficiency leading to recurrent sinopulmonary infections with Gram-negative bacteria, fungi, and herpes zoster and simplex viruses. However, HSV-1 encephalitis is a rare presentation of CLL. Other central nervous system (CNS) infections have been reported in patients with CLL, namely progressive multifocal leukoencephalopathy, West Nile virus encephalitis, and Listeria monocytogenes encephalitis. The occurrence of HSV-1 encephalitis in immunocompromised patients has rarely been reported. Classic clinical presentations with atypical laboratory studies have been described in a patient with metastatic colon cancer four weeks after receiving chemotherapy [2], three patients who were immunosuppressed with either Hodgkin's or non-Hodgkin's lymphoma [3–5], and another patient with glioblastoma multiforme on dexamethasone [5]. Atypical clinical presentations of HSV encephalitis have been described in patients receiving steroids, and also occur in 2% of patients infected with human immunodeficiency virus (HIV) with neurological symptoms, usually in association with CD4 T cell counts <200 cells/μL [6]. "
1421389,2," The literature exploring the association of MS with CLL is very limited. Neither the development of CLL prior to the development of MS, nor the reverse, have been shown to have an association in retrospective studies ([7]; additional references are available upon request from the corresponding author). Only one study has shown an increased risk of Hodgkin's and non-Hodgkin's lymphoma in first-degree relatives of patients with MS, and this is thought to be related to shared environmental and constitutional factors such as infection with Epstein-Barr virus or expression of the HLA-DR2 allele. "
1421389,3," The development of clinical symptoms and signs of MS in our patient so soon after her episode of HSV-1 encephalitis, as well as her earlier atypical peri-ventricular pattern of MRI findings, suggests a possible association between the infection and subsequent diagnosis of MS. On the one hand, it is possible that our patient's initial illness was an early manifestation of MS with asymptomatic HSV-1 colonization in the CNS, and that her initial improvement could be attributable to receiving dexamethasone for 1 day. Of note, detection of HSV DNA in CSF by PCR has a sensitivity of 98% and a specificity of >95% [8]. True positives have been reported in patients who are asymptomatic, and false positives have been reported due to cross-contamination. Additionally, the MRI from our patient's first admission demonstrated basal meningitis, which is an atypical feature of MS (see Figure 3). On the other hand, our patient's recent recurrence of herpes labialis, the positive CSF PCR for HSV-1, and her continued improvement over nine days while receiving intravenous aciclovir support the argument that HSV-1 infection was the reason for her initial illness. Regarding the nature of the illness, CSF PCR for HSV has been recently used by others to diagnose mild cases of HSV encephalitis, to diagnose atypical cases of adult HSV encephalitis involving polyradiculoneuritis and inflammatory syndrome with arachnoiditis, and to define a pathogenic role of HSV in episodes unlikely to be entirely CNS viral infections (relevant references are available upon request from the corresponding author). Furthermore, the fact that the patient's repeat CSF PCR result for HSV-1 was negative on her second admission helps support that her initial encephalitis was related to HSV-1 even if some demyelination due to MS had already begun. Although studies of the CSF such as oligoclonal banding were not performed or indicated during her first admission to explore the likelihood of MS, the patient denied any history of urinary incontinence, vision loss, unilateral blurred vision, double vision, gait disturbance, or paresthesias before her current illness. However, the expansion of previous areas of peri-ventriculitis on the patient's second admission do raise the possibility of her first admission involving concurrent HSV-1 encephalitis and MS. "
1421389,4," A recent study of patients with MS has demonstrated alterations in dendritic cell antigens and interferon expression in response to HSV-1 challenge to mononuclear cells [9]. Whether such an impaired immune response to viral infection is present before the development of MS is unknown. Additionally, patients with MS are known to have elevated antibody titers to HSV-1 in the CSF, but this is purported to be non-specific and studies of CSF PCR for HSV-1 in patients with MS have failed to find a statistically significant association [10]. There is evidence of association between infection with Epstein-Barr virus (EBV) and subsequent diagnosis of MS, as well as between CNS infection with human herpesvirus 6 variant A (HHV6A) and concurrent MS [10]; however causal relationships are yet unproven. Our patient did not undergo serological EBV testing or CSF studies for HHV6 during her admissions."
653044,0," In the present work we described a lumped parameter model of the cerebrospinal venous network based on a realistic anatomical paradigm, aimed at determining if an extracranial morphological change can cause an intracranial venous flow alteration. Compared to previously published models of the physiologic and impaired cerebrospinal venous circulation [19, 21, 23, 25, 26], our model was designed with a detailed correspondence between its elements and anatomy. The accuracy of the model was evaluated comparing the flow estimates with that obtained with PC-MRI from a group of healthy subjects. We applied the model to mimic obstruction of the main extracranial veins and to estimate the changes in intracranial pressure and flow. We compared the location of flow inversion simulated with IJV obstruction and what we observed with ECD in a group of 112 MS patients. "
653044,1," Comparison between model estimates and MRI measures The physiologic flow rates computed by the model were realistic in terms of direction (Fig. 2) and amplitudes (Fig. 3). These agreements were not obvious since we a priori set the arterial input flow directions; the network connections; the venous diameters and lengths and the zero-level pressure at two points of the hydraulic system. We did not impose the venous flow directions or pressures, with the exception of the pressures in subclavian vein and the right atrium. In regards to the flow amplitude, the mean flow rates estimated with MRI were not significantly different from those predicted by the model, with the exception of ISS and ICVl. The best correspondence between predicted and measured flow rates were found for those vessels whose anatomy can be approximated by an almost straight pipe of constant cross sectional area, i.e., where the basic assumption for Poiseuille's law holds, and whose dimension, shape and blood velocity allowed for the acquisition of good quality PC MRI data. The significant difference between ISS (p=0.004) and ICVl (p=0.01) flow rates and those predicted by the model could be due to the small dimensions and low flow velocity of all these vessels and to the curve shape of the ISS. The same reasons could explain the trend for difference found between ICVr and both the SPS (p=0.06). Regarding the SSS, its cross sectional dimensions increased anteriorly to posteriorly; as did its flow rate, consistently with the presence of the superior cerebral veins converging into it. We modeled the SSS as a single resistance and did not model the superior cerebral veins due to their high inter- subject variability in terms of number and size. For these matters the flow rate measured with the anterior, but not posterior, acquisition was significantly different from the model estimate. Furthermore, the SSS curve shape could explain the trend for difference between the model estimate and the posterior MRI measurement (p=0.055). The mean SSS flow rate measured with the posterior acquisition was similar to that reported by Gideon et al. [43]. (443±124 ml/min, p=0.1) and Mehta et al. [44] (388±169 ml/min, p=0.9) on a group of 14 and 15 healthy volunteers, respectively. The model estimate was similar to the cited works. The same reasons could explain why there was a trend for the TS (p=0.09 and p=0.1for the left and the right side, respectively) for slower flow rates measured with MRI compared to that predicted by the model. Another general source of mismatch between our model estimates and the MRI measurements involves the coupled vessels. We assumed a right-left symmetry of the venous network when designing the model, while in vivo asymmetry is described with a wide range of anatomic patterns [45–49]. The IJV, VV, and TS, seem to have right dominance regarding their size and flow [47, 49]. As a matter of principle, different anatomical connections could be additionally implemented with the same approach, even though this would require changing the equations associated to the network. The same model structure can instead be used for a variety of analyses, such as the study of asymmetric vessels, only by changing the dimensions of the vessels. "
653044,2," Venous obstruction simulation The simulations obtained using different combinations of IJV diameters showed that the intracranial pressure is stable for a wide range of IJVs diameters and increases for severe IJV stenosis. Our finding is similar to that showed by the recent model of Gadda [28], where a mild effect on the venous sinuses pressure was produced by halving the IJVs conductances, and a strong effect by setting the IJVs conductances close to zero. The previously cited model analyzed the venous sinuses pressure as a single node of the network. Conversely, our model includes the main intracranial vessels, so we could simulate the pressures at their ends for progressive bilateral IJV constrictions. Even with different amplitudes, the relationship between venous pressure and IJV diameter reduction had the same shape for the different intracranial veins. The high pressures estimated at the confluence of RVs and ICVs to GV due to severe IJVs diameter reduction is a theoretical biomechanical finding supporting the hypothesis and the experimental findings of previous works [20, 50–52]. It has been suggested that such a high pressure can damage the brain tissue, with possible blood–brain-barrier rupture [50, 51] or permeability increase [13, 53]. In particular, since the Galenic system drains the periventricular white matter and the basal ganglia, its increase of pressure can damage those brain areas [51, 53]. The intracranial vein hypertension, especially that of the SSS (Fig. 4b), can also impact the cerebrospinal fluid flow hemodynamics. Indeed, the cerebrospinal fluid flow absorption is possible if cerebrospinal fluid pressure exceeds that of the venous sinuses by about 5–7 mmHg [20]. For severe degrees of IJV stenosis, our model predicted a pressure increase in the SSS similar or even higher than the previously reported pressure gradient. A relationship between IJV stenosis, reflux and cerebrospinal fluid flow alterations was recently observed in different CNS disorders, like MS and AD [13, 14, 20, 54, 55]. The cerebrospinal fluid flow alterations were also recently reported to correlate with “dirty appearing white matter” in healthy subjects [56]. The brain edema seen in cases of venous sinus thrombosis or stenosis could also be due to the decrease in cerebrospinal fluid drainage caused by an increase in venous pressure [57]. In a recent review [20], Beggs explained the link between IJV stenosis, its hypertension and the impairment of cerebrospinal fluid flow absorption into the venous blood. Other consequences of severe neck vein stenoses predicted by our model are the reduced intracranial venous flow rate, and even flow inversion. Schelling in 1986 [52] suggested that refluent IJVs or intracranial veins could produce retrograde venous hypertension, i.e., from downstream to upstream the venous network. The resulting venous overload, engorgement, dilatation and leakage were proposed to be possible causes of MS lesions. The location and shape of such lesions were also suggested to be similar to those found through Schlesinger’s experiments with gelatin solution forced in the GV of human cadavers. With the modelization used in this work, blood flow in any vein is determined by the pressure drop between its extremities, being directed toward the end with the lowest pressure. If the pressure difference between the vein ends reverts, the flow becomes retrograde. This general mechanism explains the cases of reflux found through our simulations, as explained for the intracranial, vertebral and azygos areas hereafter. The upstream of one IJV is more influenced by its diameter change than intracranial vessels: its pressure begins to increase for small IJV diameters reduction. When both the IJVs are stenotic, our model predicted retrograde flow for the intracranial vein proximal to the IJVs themselves, in particular for the CS, IPS and SPS. Figure 5 represents how the flow inversion occurs in the IPSl. The pressures of its two ends were plotted over progressive reductions in IJV diameter (Fig. 5a): since they are superimposed on each other, it is clearly visible when one exceeds the other, i.e., for severe bilateral IJVs stenosis. Together with this pressure drop inversion, the IPSl flow inverted its direction (Fig. 5b). The preferred drainage path of CS, IPS and SPS in this case was the anterior cervical plexus (Fig. 7) instead of the IJVs (Fig. 2), since it offers lower resistance to flow. The presence of collateral vessels, as modeled in this work, did not prevent intracranial pressure increase and reflux. Indeed, one or more collateral vessels in parallel to a stenotic IJV have higher resistance to flow as compared to a patent IJV, even if the total cross sectional area is the same [19]. If a clearer picture was needed, the model could be tuned for a single patient-specific case by setting ad hoc geometry, number, position and connections of collaterals. By doing this, it could be tested how a wider or higher number of collateral vessels would guarantee enough drainage and lower intracranial pressures, avoiding intracranial vessels reflux. Future work involving this kind of simulation could provide a better understanding about how collateral flow impacts intracranial pressure. Indeed, collateral number, dimensions and their anastomosis to the IJV are variable and are fundamental as an alternative pathway in clinical cases of IJV obstruction [27, 28]. The VV morphological obstructions had a low impact on the intracranial region, but a high impact on the pressure of the cervical and vertebral areas, besides on the areas connecting them to the intracranial vessels. When the pressure increase was higher in the upper portion of the VVs than in the intracranial region, a retrograde flow could occur in the posterior occipital sinuses. The blood of the last vessels was redirected to the IJVs instead of flowing to the CPp and VVs. For a patent azygos, the pressure of its distal tracts is higher than that of the proximal ones: this is visible at Fig. 6a, for diameter reduction = 0 %. The flow is directed from its distal to its proximal tracts, to the superior vena cava, as shown in Fig. 2. The simulation of the proximal azygos obstruction produced asevere pressure increase (Fig. 6a, pressure between AZY4 and AZY5 and between AZY5 and AZY6). Conversely, the pressures of the distal districts were almost unaffected by the change (Fig. 6a, pressure between AZY11 and AZY12). When the obstruction caused an excess of pressure in the proximal compared to the distal part of an azygos portion, the pressure gradient changed its direction. The blood flow reverted its physiologic direction according to the pressure gradient. This can be observed in Fig. 6b, which shows how the azygos flow rate changes when proximal azygos obstruction is simulated. The AZY5 flow becomes retrograde when its distal pressure (between AZY5 and AZY6) exceeds the proximal one (between AZY4 and AZY5). For this particular case, this happens when the proximal azygos diameter is halved. The same can be observed for AZY11 flow, with less diameter reduction. A similar mechanism affected the thoracic plexus. The thoracic and azygos refluxes were drained to the right atrium through the inferior vena cava instead of the superior vena cava. "
653044,3," Jugular vein obstructions: comparison of model simulations and real cases Comparing our ECD data with the model estimates in the most prevalent clinical situation (the IJV obstruction), we found agreements in intracranial reflux topography. Comparing our ECD data with the model estimates in the most prevalent clinical situation (the IJV obstruction), we found agreements in intracranial reflux topography. A quantitative comparison could not be done since we did not measure the IJV diameter during ECD acquisitions. However, the results of the model simulations have to be read as a proof of concept: the percentages of IJVs diameter reductions corresponding to intracranial reflux, or to intracranial pressure increase of at least 200 %, are not intended to be considered absolute thresholds. Indeed, they depend on the chosen “normal” IJVs diameter and other vessel dimensions. Regarding venous dimensions, a high inter-subject variability is described in literature, with different physiological vessels dimensions and flow rates among the studies, and a high deviation from the mean within each study [30, 32, 44, 49, 58]. Furthermore, the venous reflux detected in clinical cases often involves only a portion of the vessel and can be intermittent [42]. This fact can be explained by observing the occurrence of separated flow regions in a single vessel, as studied with a Lagrangian approach to fluid flow analysis [59, 60]. Conversely, with the present kind of modelization, a vessel can be classified as refluent if its flow rate is completely reverted. Local flow separation cannot be described through our approach. However, considering the relatively low values of Reynolds' number (maximum = 715 in the SSS), we may reasonably infer that such peculiar flow structures wouldn't significantly affect the vessel resistance calculations in our model. "
653044,4," Limits and perspectives The results of our model and all the simulations provided by it have to be evaluated while taking into consideration the main limitations of our type of modelization: the model is steady-state and it is valid only for analyzing the supine position. Regarding the subject position, a future work for studying a standing subject should consider the effect of atmospheric pressure on IJVs, which collapse, and the role of collateral pathways [28]. As to the steady-state limitation, this means that every pressure and flow of the network is not time-variant, so the modulation of the venous velocity due to the cardiac or the thoracic pump are neglected. A recent work [61] showed that the latter highly influences the venous return of the IJVs, especially for in the deep inspiration, because of the aspiration effect of the pleural cavity. However, the mean flow of the intracranial veins is less modulated by the respiratory phases. The minor effect of respiration and cardiac pulsations on intracranial vein flow was also shown through MRI with the analysis of the frequency components in the range of respiration and heart beat. The flattened flow rate waveform of cerebral sinus veins can be due to their fixed diameter and protective effect of the dura mater [31]. Moreover, the IJV cross sectional area changes over the cardiac cycle [62]. However, due to the high inter-subject variability in terms of IJV cross sectional areas and ranges of variation, the choice of considering an average constant value can be considered a reasonable approximation. Another aspect to point out is that the refluxes observed in clinical cases could be due to the sum of the effects of many morphological alterations (i.e., other abnormalities besides IJV or VV or AZY obstruction), while we separately simulated the effects of the main routes obstruction, obtaining intracranial refluxes only for severe IJV stenoses. Nonetheless, it is possible to use this model to test the effect of many other morphological alterations. Owing to the linearity of the model, the effects of any combination of anatomical changes may be obtained through the superposition principle, i.e., by linearly combining the effects of single anatomical alterations. It is hence straightforward to adapt the model to patient-specific features."
