doc_id,discussion_id,text
2004704,0,"Cattle in SA are normally not affected by BTV outbreaks. Clinical signs have been reported in only two outbreaks of BT in cattle: in 1996–1997 in the Delareyville District in the North-West Province and in Donkerhoek in Bronkhorstspruit District, Gauteng Province (Barnard, Gerdes & Meiswinkel 1998). The prevalence of BTV in cattle in SA is, however, not known. To obtain BTV antibody negative cattle for this study and in a recent study by Steyn et al. (2015), 2168 cattle were bled in different geographical regions in SA (Gauteng, Mpumalanga and North-West Province) and a total of 96.5% of the cattle tested positive to BTV antibodies. It is therefore clear that although cattle have a high infection prevalence, they do not normally show any clinical signs and consequently are also not, in general, vaccinated against BTV in SA. It can therefore be concluded that cattle can be considered amplifying or maintenance hosts of the virus (MacLachlan et al. 1994). The trial was conducted during winter when midge numbers decrease significantly, therefore minimising the risk of natural infection with BTV."
2004704,1,"During this trial, cattle showed no adverse effects of stress, with the exception of two of the cattle that were inoculated with the vaccine and the wild-type virus and developed a mild fever and loss of appetite for 1 day. Animals were viraemic from 2 to 39 days post-infection. No virus could be detected in four animals after day 33 post-infection using virus isolation, but two animals were viraemic up to 39 days post-infection. Only one of the animals with the prolonged viraemic period showed some mild signs as discussed earlier. This is in agreement with previous studies in which it has been reported that cattle can be viraemic for periods between 14 and 100 days post-infection (Sellers & Taylor 1980; Singer, MacLachlan & Carpenter 2001)."
2004704,2,"When the isolated viruses were compared to each other and to the vaccine strains using PAGE, the majority of the samples were similar to BTV 4 the wild-type strain. This might be because BTV 4 was inoculated intravenously resulting in high titres of BTV 4 in the blood compared to the vaccine serotypes that were inoculated subcutaneously according to the guidelines of the manufacturer. Another reason might be that the fastest multiplying viruses showing plaques on cell cultures were preferentially selected; thus, the virulent field strain was isolated rather than the attenuated vaccine strains (Dungu et al. 2004)."
2004704,3,"This study illustrated the generation of reassortant viruses between two vaccine strains of BTV in cattle. Segment 8 of MLV BTV 8 reassorted with MLV BTV 9. Segment 8 codes for the NS 2 which is mainly responsible for assembly of the virion (Kar et al. 2007). It can therefore be hypothesised that the reassortant virus described in this study may replicate faster to facilitate survival. Reassortment is not limited to vaccine serotypes or closely related serotypes. Maan et al. (2012) illustrated that reassortment can occur between unrelated viruses, for example, from the western and eastern lineages. Whole genome analysis of a serotype 2 isolate from India illustrated that segment 9 was unique and belonged to the eastern topotype, while segment 5 belonged to a western topotype. Another example from India was the reassortment between a field isolate of BTV 21 and 16. Whole genome sequencing confirmed segment 6 of BTV 21 clustered with BTV 16 and showed a 97.6% similarity (Shafiq et al. 2013). A study in 1987 illustrated reassortment between two field virus isolates after a Holstein Bull was inoculated with BTV 11 and 17. The isolated viruses were compared with electrophoretic profiles and 16 unique profiles were identified (Stott et al. 1987). More recent studies in Europe illustrated how BTV 16, a field isolate from Italy, and BTV 2 vaccine strain exchanged segment 5 (Batten et al. 2008) and the circulation of a BTV 6 MLV strain was detected in the eastern Netherlands and later in parts of Germany in cattle that displayed mild non-specific clinical signs of BT (Maan et al. 2010)."
2004704,4,"Whole genome sequences were performed on 116 BTV isolates from Europe, the Mediterranean region and African countries collected during 1958–2012. The isolates were compared to four MLV serotypes and compared to the 26 serotypes available on GenBank, which revealed reassortment between field isolates and vaccine strains as well as reassortment between field isolates (Nomikou et al. 2015)."
2004704,5,"The impact of BTV reassortment on the epidemiology of the disease in SA has not been studied, but reported studies indicated that it is possible that new emerging viruses can infect novel species (Purse et al. 2005). In a recent study by Weyer et al. (2017), it was confirmed that individual outbreaks of African horse sickness (caused by AHSV) in the Western Cape Province, SA, were caused by virulent revertants of the virus. Outbreaks were caused by AHSV serotype 1 live-attenuated vaccine and reassortants with genome segments derived from AHSV serotypes 1, 3 and 4 from a live-attenuated vaccine used in SA."
2004704,6,"It is not possible to predict to what extent the characteristics of new emerging viruses can change and what the limitations of such changes will be. The new virus can be more pathogenic especially if reassortment results in reversion to virulence, can cross the placenta increasing its overwintering capabilities, or susceptibility to the vector resulting in more efficient spread of the virus (reviewed by Wilson, Darpel & Mellor 2008)."
342394,0,"Bluetongue disease constitutes one of the major veterinary problems in sheep and North American white-tailed deer [12,13]. However, in focal areas of endemicity, goats and cattle develop subclinical infection [6,8,10]. In our laboratory, a lot of research efforts have been made to facilitate rapid molecular detection and differentiation of orbiviruses, including BTV, in susceptible native breeds of livestock [11,13,15,17,24,27-33]."
342394,1,"Previous epidemiological surveys showed high prevalence rates for BTV infections in Iran (93.5%) and Southern Turkey (88%) [34,35]. In Sudan, earlier serological surveys indicated that BT infection is generally widespread and occurs in all domestic ruminants, with as high as 61.5% prevalence rate among sheep in Juba, South Sudan [22]. A subsequent serological survey for antibodies against bluetongue in cattle in Khartoum State showed high prevalence rate of 51.1% among the examined animals [23]. In the present study, a seroprevalence of BTV infection in cattle of North Kordufan (19.4%) is markedly lower than previously reported prevalence rates compared to other states of Sudan. In this study, the prevalence of BT disease is comparable to those reported amongst sheep in El-Dien (20%), Western Sudan, and Atbara (21.9), Northern Sudan [22]. The presence of BT disease in Sudan and the risks these infected cattle pose for native breeds of sheep, necessitate the importance of an improved surveillance system for this viral pathogen in Sudan. In the present investigation, the final models of BTV seropositive cattle indicated that only three independent risk factors were statistically significant. When assessing age as risk factor, there was a significant difference between the BTV infection rate and the age of the animal. It was shown that the calves started to get infected with BTV after the age of 2 years. At this age, the animals are usually released onto the pasture for grazing, where they are likely to be exposed to infected vectors and subsequent BTV infection. We believe that the association of BTV infection rate and age is probably attributed to frequent exposure of older cattle to infected Culicoides vectors. In contrast, young calves (<2 years) are usually kept indoors and are well taken care of by the animal owners for protection against infectious diseases particularly, the insect and tick-borne infections [36]. Our result is in agreement with previous epidemiological surveys, which reported higher risks of older animals for BTV infections [37]. It should be noted that the BTV-specific antibodies detected among cattle in North Kordufan State indicate natural infection as there is no vaccination program for the disease in the country. In addition, all cattle included in this study are aged over one year. Therefore, it is assumed that detected antibodies no longer persisted and that antibody indicated direct exposure to BTV. In addition, there was association between body condition and BTV seropositivity. In our study, poor physical conditions are associated with highest prevalence of infection. It is probable that emaciated cattle have the tendency to attract the infected Culicoides insect vector of BTV. However, if the status of emaciation causes infection by BTV or vice versa needs further investigation and cannot be derived from this study. Regarding the management risk factors, there was a significant difference between the use of insecticide and the seropositivity to BTV infected cattle. It is, therefore, recommended that routine application of insecticide or insect repellents be considered to prevent BTV infection in susceptible livestock. In contrast, the risk assessment studies indicated that there was no significant difference between BTV infection and the rest of the individual or management risk factors included in the study. It is worth mentioning that gender has no significant difference for BTV infection among male and females as both sexes are equally infected with BTV. Likewise, there was no significant difference between localities and BTV infection rate, suggesting wide distribution of the Culicoides vector all over the localities of North Kordufan State. Highest and lowest rates of BTV positivity were recorded in the localities of Shiekan (15%) and Ennuhud (27.5%), respectively. The high level of BTV positivity in Ennuhud is attributed to the substantial rainfall events and development of irrigation projects, which provide suitable habitat for the insect vector in this locality. However, the locality of Shiekan is situated in the semi desert zone and hence has restricted rainfall."
2087253,0,"Infection with BTV is common in a broad band across the world, which until recently stretched from latitude ~35°S to 40–50°N. Since the 1990s, the range of BTV has extended considerably north of the 40th and even the 50th parallels in some parts of the world (Maan et al. 2007; Coetzee et al. 2012)."
2087253,1,"All attenuated BTV strains have pronounced reactogenic properties. These properties are characterized by the appearance in the vaccinated animal of a quite moderate to severe reaction temperature, between 6 and 10 days after vaccination. The response to the vaccine is followed by viremia. These phenomena are regarded as positive signs of infection, indicating the development of an immune response (Kercher et al. 1957)."
2087253,2,"One of the most important steps when preparing a live-attenuated vaccine is the assessment of its level of attenuation in the target animals (sheep and newborn mice). These models, which are used to evaluate the attenuation of BTV, are sufficient to test the attenuated strains (Franchi et al. 2008). Therefore, we determined the levels of attenuation of the BTV strains with 10 serial passages in sheep. We evaluated the reversion of the two vaccine strains by passaging them 10 times through susceptible sheep, and thus showed that the pathogenicity of these attenuated strains was not restored. However, these strains replicated in the sheep and could be isolated from the blood of the animals 2–12 days after vaccination."
2087253,3,"The MLV vaccine administered at doses not exceeding 2.0 log10 TCID50/mL, produced long-lasting viremia in the sheep, whereas virulent strains accumulated in the blood at levels up to 5.50 log10 TCID50/mL. Although this viremia makes the MLV more immunogenic, because it continues to producing an immune response long after the initial injection, the possibility of reversion to virulence cannot be ruled out given the limitations of the present study. In particular, previous research has shown that the virus can revert to virulence after infecting its natural vectors (Batten et al. 2008). In this case, the viremia produced by the vaccine strain persisted longer than that induced by the pathogenic strains. Vaccination with MLV and inactivated viruses produces neutralizing and group-specific antibodies (Oura et al. 2009; Hamers et al. 2009) protecting the vaccinated animal against challenge. Live-attenuated vaccines usually elicit a strong immune response, with the development of antibodies, and are usually efficacious after a single dose (Patta et al. 2004; Dungu et al. 2008)."
2087253,4,"Neutralizing antibodies have been shown to be an essential component of the protective immune response against BTV (Huismans et al. 1987; Roy et al. 1990) and similar titers, (1.5–2.5 log2) have been observed after vaccination with killed commercial vaccines in ruminants, which were ultimately protected from BTV-8 challenge (Bréard et al. 2011). Our experimental data are consistent with those of other researchers. Therefore, we have established that 7 days after vaccination with the attenuated vaccine, virus-neutralizing antibodies to BTV are present in the sera at a titers of 1.0 log2. This antibody titer is protective against the homologous virulent strain of BTV. Although further research isrequired, particularly regarding the safety of the vaccine in pregnant sheep, this bivalent vaccine has been shown to be safe and efficacious, and will be a valuable tool in preventing the spread of bluetongue to Kazakhstan."
761719,0,"It is worth mentioning that the situation of diagnosis of this virus in neighboring countries and the Middle-East (except Turkey and Occupied Palestine) is not better than our country. In such country as Saudi Arabia, Syria, Yemen and Pakistan, the presence of virus has been documented only relying on serological tests.6,7,16 According to recent studies, there is an evidence of occurrence of BT disease in tropical and subtropical countries (such as Iran). In such areas generally, the disease appears sub clinically and does not attract attention. In such circumstances, the presence of the virus often confirms via serological evidence. It should be mentioned that in such foci, in spite of unrevealed disease and manifestation, sometimes sudden incidence of acute forms of the disease sustain a loss.17-19"
