doc_id,discussion_id,text
822569,0,"Here, we summarized the reported cases of melioidosis in South Korea. A total of 11 cases of melioidosis were reported during the past 12 years, and the overall fatality rate was 36.4%. All the patients had visited Southeast Asia, where melioidosis is endemic. Most of the cases stayed in the endemic area for months to years, and developed symptoms before returning to South Korea or within a few months after the return. However, some cases stayed in the endemic region for as little as a few days, and one case developed symptoms 3 years after returning to South Korea. Pneumonia was the most frequent clinical manifestation, but the patients showed a wide spectrum of clinical features, including a mycotic aneurysm of the aorta and coinfection with tuberculosis. An early diagnosis and initiation of the appropriate antibiotics can reduce mortality. Consequently, increased awareness of the risk factors and clinical features of melioidosis is required."
822569,1,"Most melioidosis cases result from recent exposure, as the majority of melioidosis cases in the endemic region occur during the rainy season. The incubation period of melioidosis ranges from days to months [10]. A previous study calculated an incubation period of 1–21 days between the inoculating event and symptom onset [11]. However, B. pseudomallei can reactivate after an initial asymptomatic infection with extremely prolonged latency. There are reports of melioidosis becoming symptomatic more than 20 years after the suspected exposure 12, 13. In this report, incubation periods could not be determined clearly, as most of the patients failed to recall the actual event of inhalation or inoculation. Therefore, the time period between returning to South Korea and the onset of symptoms was recorded as an indirect measure of the minimum incubation period. More than half of the cases developed symptoms during their stay in the endemic region or within 1 month after returning to South Korea. However, the initial symptoms developed more than 1 month after returning to South Korea in five cases, and the interval between return and symptom manifestation was as long as 3 years in one case [4]. Although poorly understood, the prolonged latency of B. pseudomallei is thought to be associated with its facultative anaerobic nature, ability to persist without nutrients, and ability to endure antibiotic pressure by assuming filamentous forms [14]. It is important that physicians should not rule out melioidosis simply because the duration from the suspected exposure to symptom onset is longer than a month."
822569,2,"Risk factors for melioidosis include diabetes mellitus, heavy alcohol consumption, chronic lung disease, chronic renal disease, malignancy, and immunosuppressive treatment [3]. Patients with these risk factors are predisposed to melioidosis, and previous studies showed that 80–87% of melioidosis patients had at least one risk factor 3, 15, 16. Of the risk factors, diabetes mellitus is most important. Diabetes has been reported in 38–60% of melioidosis patients 17, 18, 19, 20, and the calculated risk of melioidosis in diabetics is as high as 21.2 (95% confidence interval 17.1–26.3) times the risk in nondiabetics [16]. The presence of risk factors is associated not only with susceptibility to the disease, but also with its severity and clinical manifestations. The chronic form of melioidosis was less common in diabetic patients and more commonly observed in patients without risk factors. In addition, patients without risk factors tended to have lower rates of bacteremia, septic shock, and mortality [3]. In the present series, seven (64%) patients had at least one risk factor, all of whom were diabetic. Of the four patients without risk factors, chronic infection was observed in three (75%) and two (50%) had bacteremia. By contrast, none of the seven patients with at least one risk factor developed a chronic infection and all of them were bacteremic."
822569,3,"Previous reports showed that male sex is an independent risk factor for melioidosis 16, 21. High occupational exposure to soil and water is a significant risk factor for melioidosis [22], and the association between male sex and melioidosis is suggested to reflect an increased exposure to B. pseudomallei [16]. In the present series, all the cases were male, and this may also be associated with high environmental exposure. Cases with higher occupational exposure to soil and a prolonged duration of stay in an endemic area have a higher chance of exposure to B. pseudomallei. Under the current social circumstances of South Korea, men are more likely to work in foreign countries for a long period, and this may explain the reason that all the patients are male. In fact, only three cases in the present series were tourists, and the remaining eight cases were those who stayed in Southeast Asia for occupational purpose for months to years."
822569,4,"The fatality rate of melioidosis ranges from 14% to 49% 3, 17, 18 and was reported to be as high as 65% in bacteremic patients [19]. Old age (≥50 years), the presence of risk factors (diabetes, heavy alcohol use, and chronic lung or renal disease), and markers of organ dysfunction (leukopenia; raised liver enzyme, urea, and creatinine levels; and acidosis) on admission are thought to be associated with mortality 3, 23, 24. In the present series, four patients, three with diabetes and one elderly patient, died from melioidosis. Two patients had septic shock with evidence of organ dysfunction on admission. The overall fatality rate was 36.4%. Despite its considerable fatality rate, a recent study suggested that survival is improving. In the Darwin study, the fatality rate from melioidosis decreased from 30% to 9% over the past 20 years, and this was attributed to an early diagnosis, early treatment with the appropriate antibiotics (ceftazidime or meropenem), and access to intensive care management [3]. Similarly, the mortality of melioidosis in South Korea may be reduced by an early diagnosis and initiation of the proper antibiotics. Empirical antibiotic treatment often does not cover B. pseudomallei, so an early suspicion of melioidosis is essential."
822569,5,"Pneumonia is the most common presenting feature of melioidosis, followed by genitourinary infection and soft tissue infection 1, 3. Similarly, in this study, seven (63.6%) patients presented with pneumonia, three (27.3%) patients presented with genitourinary infection, and one (9.1%) patient presented with soft tissue infection. Abscesses were found in the prostate, spleen, and liver, which are well-recognized sites of abscess formation [3]. A mycotic aneurysm of the aorta was observed in Case 5. Although very uncommon, mycotic aneurysms due to melioidosis have been reported, and are thought to be associated with high mortality and relapse rates [25]. Therefore, melioidosis should be suspected when patients with risk factors for melioidosis present with a mycotic aneurysm. Moreover, although pain is seen in the majority of patients, the presenting symptoms of a mycotic aneurysm are often nonspecific [25]. The patient in Case 5 denied any pain on admission, and the mycotic aneurysm was detected incidentally in the process of evaluation of the fever focus. Therefore, a mycotic aneurysm should be included in the sites for further evaluation in melioidosis patients whose primary infection focus is obscure."
822569,6,"Case 1 had a coinfection with pulmonary tuberculosis and melioidosis. The patient was initially diagnosed with pulmonary tuberculosis, but showed a poor response to antitubercular treatment and was finally diagnosed with melioidosis. Melioidosis might manifest as a chronic pulmonary infection that mimics pulmonary tuberculosis and could be misdiagnosed as tuberculosis, especially in areas endemic for tuberculosis, but not for melioidosis [26]. Moreover, as in this case, a coinfection of melioidosis and pulmonary tuberculosis can occur [27], leading to considerable confusion in the treatment process. Although not well established, previous case reports suggested that mycobacterial infection is a risk factor for melioidosis, reflecting host susceptibility to intracellular pathogens [1]. The patient of Case 1 might have had underlying pulmonary tuberculosis, and this might have acted as a risk factor for melioidosis. Increased suspicion for melioidosis is required when patients with a history of visiting endemic regions present with chronic pneumonia."
822569,7,"In summary, we presented the detailed epidemiological and clinical features of the reported cases of melioidosis from 2003 to 2014."
435540,0,"Few models have been used to predict the incidence of melioidosis on either a national or global scale [14, 15, 43]. We applied population dynamics, seasonal movement, and the impact of diabetes to study melioidosis epidemiology in Thailand. Other approaches such as decision tree or Markov model can also be used to study melioidosis epidemiology given that the rate of transmission is constant and the system is linear. Our model fits a dynamic model for a non-transmissible disease to data on notifications only, which should allow reasonable predictions to be made as to the future course of the epidemic. However, drawing strong inferences regarding parameter values that pertain to transitions through infection/disease states after the point of infection is less safe, such that particular caution should be exercised in regards to parameters, especially those discussed here. Our findings have some similarities and differences compared with previously published work. Limmathurotsakul and colleagues used a negative binomial model to derive estimates of 7,572 (3,396–17,685) cases for global melioidosis incidence in the year 2015 [15]. This figure was similar to the incidence of melioidosis estimated in our study, which was 7,569 cases (4,834–8,701) for 2015. Both studies reached similar estimates of approximately 50% for case reporting and 40–45% for mortality/death rate for melioidosis (see S2 Table A), while the risk factors identified for melioidosis were also in agreement, i.e. being male, aged more than 44 years old, and having diabetes [13]. Two previous studies by both Thai and Australian researchers consistently showed that type 2 diabetes increased the risk of melioidosis by more than 10 times when compared with those non-diabetes [13, 44], this figure is similar to our model estimates. Buckee and colleagues pointed out that seasonal disease incidence could be driven by the mobility and aggregation of human populations, which spark outbreaks and sustain transmission [30]. Northeast and transient males aged more than 45 years old were also predicted by our model to be a highest risk groups for melioidosis. Apart from reporting and mortality/death rates for melioidosis, the model also gave the estimates for some natural history of disease parameters which would be hard to measure i.e. proportion and duration of asymptomatic infections, duration of untreated symptomatic infections, and host susceptibility to melioidosis [45]. With regard to asymptomatic infections, a few studies have tried to characterize and estimate the number of these hidden infections [44–46]. Our model suggested that there could be a significant proportion of asymptomatic infections (54%). Although the parameter values used in the fitting and prediction process are based on annual incidence data only, the variation in the parameter values is included to reflect the uncertainty in the predictions, and the posterior distributions represent sets of collinear parameters that reproduce the observed data. Further studies and more appropriate data are required to refine these parameters."
435540,1,"Our model can provide many benefits for health policy planning. First, the model, in common with previous studies, estimated that only about half of all melioidosis cases were being reported. Under-reporting results in melioidosis being neglected, even more than other neglected diseases such as dengue and leptospirosis [16]. Previous study suggested that melioidosis was the third most frequent cause of death from infectious diseases in northeast Thailand, after HIV/AIDS and tuberculosis [13]. By regarding melioidosis as being less important disease has made it being further under-recognized by healthcare professionals, low health budgets to invest in intensive prevention and control, poor disease knowledge and practices among the population at risk, and finally a lack of research that would enable the development of concrete strategies to improve standards of care. Second, the model can be used to guide the design of targeted interventions i.e. predicting and identifying populations at high risk for morbidity and mortality. In line with the model’s predictions, targeted intervention strategies could be concentrated among the male population of working age who live in the Northeast, as well as the transient population. These strategies could include providing health education to increase protective practices while engaging in agricultural activities, washing after work, and seeking appropriate health advice when feeling sick. To prevent deaths due to infections in older age groups, i.e. 45 years or older (65%) (see S2 Table A), national strategies could focus on early diagnosis and appropriate treatment, as well as improving diabetes screening programmes, since elderly people with diabetes may be prone to severe melioidosis."
