doc_id,discussion_id,result_id
822569,0,0
822569,0,1
822569,0,2
822569,2,1
822569,3,0
822569,5,2
435540,0,0
435540,0,1
435540,0,2
435540,0,3
435540,3,0
435540,3,1
435540,3,2
435540,3,3
2515873,0,0
2515873,1,1
2515873,2,1
2515873,3,1
2515873,4,2
2515873,5,2
2515873,6,3
2515873,7,3
2515873,10,1
2515873,10,2
2515873,10,3
1477397,0,2
1477397,1,2
1477397,2,0
1477242,1,1
1477242,2,4
1477242,3,0
1477242,3,5
429616,0,3
429616,2,3
429616,4,5
429616,5,6
429616,6,7
429616,8,7
429616,9,7
1807783,2,0
1807783,2,1
1807783,3,0
1807783,3,1
428872,0,1
428872,0,2
428872,3,3
428872,3,4
428872,3,5
428872,4,6
428872,7,3
428872,7,4
428872,7,5
428872,7,6
432177,1,2
432177,2,4
432177,3,4
432177,4,4
432177,5,5
432177,6,6
432177,7,7
432177,8,8
432177,10,3
432177,10,4
1974798,3,0
