doc_id,result_id,text
1421389,0.0,"A 49-year-old Caucasian woman with a history of migraines and herpes labialis presented to the emergency department (ED) with headache, and numbness and tingling in the left side of her face and her left leg. She related a history of recurrent sinusitis related to seasonal allergies, but with no recent nasal or pulmonary symptoms. She had developed peri-oral fever blisters, a low-grade fever, and a disabling left temporal headache four weeks earlier. Her headache was unlike the typical migraines that she periodically experienced, which usually responded to a combination of acetaminophen, aspirin, and caffeine. In addition, she experienced nausea, vomiting, and decreased appetite in association with her headaches that were accompanied by a 7.7 kg weight loss. She also exhibited personality changes and short-term memory loss. Her blisters healed in two weeks, but her headache and fatigue persisted. She subsequently developed numbness and subjective weakness in the left side of her face and her left leg one week prior to presentation. She sought care from her primary care provider, who diagnosed her with Bell's palsy and prescribed metoclopramide for her nausea. She was also referred to a neurologist who began treatment with aspirin for suspected transient ischemic attack. An MRI of the brain was pending at the time of her presentation to the ED. "
1421389,1.0," On admission, the patient's temperature was 37.9°C, blood pressure 166/96 mmHg, pulse 89 beats/minute, respiration rate 18 breaths/minute, and oxygen saturation 97.5% on room air. Her mental status and affect were normal. The distribution of dysesthesias was confirmed to be in the V2/V3 and L4/L5 dermatomes on physical examination. No motor deficits, other neurologic abnormalities, or lymphadenopathy were noted. A basic metabolic panel was remarkable for 3.2 mEq potassium/L (normal range 3.5 to 5.0). A complete blood count revealed 11.82 × 109 WBC/L, with 7.304 × 103 absolute lymphocytes/μL. Her CSF was clear and contained 6 WBCs/μL (89% lymphocytes), 63 RBCs/μL, 54 mg glucose/dL, and 49 mg total protein/dL; cell counts were taken from the fourth tube of CSF collected. Results of a chest radiograph were normal, and an MRI scan of the brain showed left greater than right ventriculitis, basal meningitis, and encephalitis of the peri-ventricular and right basal ganglia white matter (see Figure 1). "
1421389,2.0," Treatment with intravenous dexamethasone, ceftriaxone, and aciclovir was initiated and the low potassium was replaced. The patient's headache and dysesthesias rapidly improved. On day 2, the hospital's pathology lab reported small, mature-appearing lymphocytes and smudge cells in her peripheral blood smear. Further immunological investigation revealed 259 absolute CD4+ T cells (normal range 400 to 1500), 389 absolute CD8+ T cells (normal range 275 to 780), and a CD4/CD8 ratio of 0.7 (normal range 0.9 to 3.7). Results of a CSF polymerase chain reaction (PCR) test for HSV-1 were positive, and results of serum HIV-1 and 2 antibody tests were negative. Ceftriaxone and dexamethasone were subsequently discontinued. The serum and CSF studies performed to rule out other infectious and vasculitic processes are listed in Table 1. "
1421389,3.0," A diagnosis of CLL was confirmed by the expression of CD5, CD19, and CD20 antigens on monoclonal B cells with κ light chain restriction on blood flow cytometry. Fluorescent in situ hybridization later revealed a 13 q deletion, the most common cytogenetic abnormality seen among patients with CLL. The patient's γ-globulin level was 839 mg/dL (normal range 700 to 1600). After eight days on intravenous aciclovir, her symptoms had completely resolved and she was discharged on oral valaciclovir. She remained well for the next few weeks. "
1421389,4.0," Then, one month after discharge, she developed new bilateral numbness of the hands and feet and was found to have cervical lymphadenopathy on physical examination. A repeat MRI showed increased numbers and size of peri-ventricular lesions (see Figure 1), and she was readmitted. A repeat CSF PCR test for HSV-1 was negative, but 10 oligoclonal bands and a myelin basic protein level of 5.7 ng/mL (normal value <1.5) were found. Table 2 details other laboratory test results for comparison between the patient's first and second admissions. Computed tomography (CT) scans revealed extensive cervical lymphadenopathy, slightly enlarged axillary nodes bilaterally, and early lymphadenopathy among the mesentery. A brain biopsy was performed to rule out CNS lymphoma, and it demonstrated gliosis consistent with MS with no evidence of lymphoma (see Figure 2). She received high-dose parenteral steroids for five days, with symptom resolution occurring within the first two to three days. She was discharged on oral prednisone treatment, to follow up with her neurologist and oncologist. Six months later, the patient was still asymptomatic, having started interferon-β therapy for MS and not yet needing treatment for Rai stage zero CLL. "
653044,0.0,"Comparison between model estimates and MRI measures The model correctly reproduced local flow direction in all its segments (Fig. 2). Figure 3 shows the comparison between the flow rate measured with PC MRI and the corresponding model estimate. The number of vessels correctly imaged and the p-value of the signed rank test are also reported. We did not measure SSr or SSl flow rates as it was not possible to correctly image these vessels solely in the perpendicular plane. The flow rate measured with MRI was not significantly different from the model estimate for the following veins: IJVr, IJVl, VVr, VVl, ICVr, RVr, RVl, SPSl, SPSr, SRS, posterior part of SSS, TSl, TSr. The flow rates of ISS, ICVl and anterior SSS estimated with the model were statistically different from those measured with MRI. The median flow rate obtained with MRI for anterior SSS (not shown in Fig. 3) and its 95 % CI were 2.5 [1.1–3.1] ml/s, which is statistically different (p<0.0001) from that estimated by the model (7.1 ml/s). "
653044,1.0," Venous obstruction simulation The structure of the lumped parameter set allowed for separate analysis of the effects of upper and lower circulation anatomical anomalies. As the upper and lower parts of the model were decoupled, changes in the portion above the cardiac level did not affect the one below, and vice versa. "
653044,2.0," IJV obstruction The intracranial pressure estimated by the model had a specific trend related with the degree of IJV diameter reduction as shown in Fig. 4a. The amplitude depends on the specific node. Figure 4a provides, as an example, the pressure at the confluence of RVs to GV. At this level, intracranial pressure doubled its baseline value when both the IJVs were obstructed, in particular when one of them had a diameter reduction of at least 80 % and the other one of at least 90 %. Fig. 4b shows how the SSS posterior end pressure increases with different IJVs constrictions, with respect to the baseline value, which was removed from each value. The simulations carried out with IJV diameters of 1 cm [29] and 0.7 cm [32] showed intracranial pressure increase for lower IJV diameter reductions. At the level of the RVs confluence to GV, pressure doubled its baseline value for bilateral IJVs obstruction of 70 % in the latter and 60 % in the former (Additional files 2 and 3) case. In regards to the IJV upstream pressure, it doubled its initial value for IJV diameter reduction of at least 20 %. When the total occlusion of one IJV was simulated, retrograde flow in the corresponding SS was computed whenever a partial diameter reduction of the other IJV was modeled. The simulation of bilateral IJV occlusion greater than 90 % produced retrograde flow in the CS, IPS (Fig. 5b) and SPS. The simulations carried out with IJV diameters of 1 cm [29] and 0.7 cm [32] showed reflux of intracranial vessels for lower percentage of bilateral IJV diameter reduction (80 % in the former and of 70 % in the latter case). The results obtained with IJV collaterals differed from those obtained without collaterals by less than 3.5 %. The reflux was observed in the same vessels as without collaterals. "
653044,3.0," Vertebral vein obstruction The simulation of VV diameter reduction showed an increase in global high pressure in the cervical and vertebral areas, with higher values for severe VVs obstruction. Conversely, the intracranial area was less affected, where the pressure increases by less than 14 %. The CPa and CPp upstream, respectively the confluences of the BP and the OS to the cervical and vertebral areas, were highly affected by VV obstruction. Retrograde flow in POS, POSl and POSr was observed for bilateral VV occlusion higher than 60 %. "
653044,4.0," Azygos obstruction The obstruction of the proximal azygos segments caused a pressure increment along the azygos. The pressure progressively increased as the azygos diameter was reduced. The obstruction effect was higher for the nodes near to the obstruction itself and lower for the distal parts. We reported (Fig. 6a) the pressure between AZY4 and AZY5, and AZY5 and AZY6 as representative of the former, and the one between AZY11 and AZY12 for the latter. Retrograde flows were computed in the azygos itself and in the thoracic plexus: the higher the degree of diameter reduction, the higher the number of distal azygos and thoracic plexus segments affected by the reflux. Figure 6b shows the flow rate trend with progressive azygos diameter reduction for AZY1, AZY5, and AZY11, as representative of segments from proximal to distal azygos. "
653044,5.0," EchoColor Doppler results ECD data of MS patients showed IJV abnormalities caused by stenosis, membranous obstruction or hypoplasia in 86 % of cases. Among the stenotic or hypoplastic cases, unilateral IJV occlusion was detected in 28 patients (21 of them had unilateral IJV but not VV occlusion), while bilateral in 37 (17 without VV occlusions). Intracranial reflux was observed in 21/28 subjects with monolateral IJV occlusion (17/21 considering those without VV occlusions), in 28/37 subjects with bilateral IJV occlusion (15/17 considering those without VV occlusions). The reflux was always located in CS, IPS and SPS, but never located in the RV. "
654927,0.0,"Table 2 shows the demographic and clinical characteristics of patients participating in the PREMiSe study. In total, 15 patients signed an informed consent in phase 1 and 30 in phase 2 after prescreening qualification procedures were completed. Of those, 5 in phase 1 and 10 in phase 2 did not fulfill noninvasive screening procedure requirements on DS. Therefore, 10 patients in phase 1 and 20 in phase 2 were enrolled in the invasive screening portion of the PREMiSe study. All noninvasive and invasive study procedures were well-tolerated. No intra- or postprocedural complications, including vessel rupture, thrombosis side effects to the contrast media or mortality were recorded at 24 hours or 1 month. "
