doc_id,result_id ,text
2004704,0,"Daily monitoring revealed that two of the six cattle had slightly elevated temperatures of 39.1 °C and 39.4 °C on day 1 post-inoculation. Both the animals had no appetite on that specific day but returned to normal by day 2 post-inoculation. No further signs of distress were noted for any of the animals throughout the remainder of the trial. Blood samples were collected daily from the animals from day 1 to day 39 post-inoculation and viraemia was detected between day 2 and day 32 in four of the animals and in the two other animals viraemia could be detected until 39 days post-inoculation using virus isolation. Seroconversion was confirmed using a commercially available competitive ELISA (Veterinary Medical Research and Development, Centurion, SA); all cattle tested negative on day 0 and seropositive on days 13, 15, 17, 19 and 21."
2004704,1,Parental strains from the vaccine bottle and the BTV 4 field strain each demonstrated unique electrophoretic profiles and it was possible to distinguish between genome segments based on their PAGE migration profiles as illustrated in Figure 2. Eleven samples were identified as possible reassortant viruses. Full-length sequences of all these samples were submitted to GenBank (Bioproject number: PRJNA287219) and sequence data (with accession numbers) were published by Van den Bergh et al. (2016).
2004704,2,"Comparison of genomic sequences of each of the suspected reassortant isolates (n = 11) with the vaccine strains and the BTV 4 wild-type revealed that nine of the 11 samples analysed clustered with the wild-type BTV 4 strain in which all 10 segments were identical to the 10 segments of BTV 4. Two of the viral isolates obtained from blood samples (samples 2b and 6b, Figure 3), however, grouped with the BTV 9 vaccine strain. Nine of the segments of these isolates clustered with BTV MLV 9 with segment 8 as an exception that clustered with another vaccine strain from Bottle B, BTV 8 (Figure 4)."
342394,0,"The serological evidence of BTV infection was observed in 58 out of 299 cows accounting for a 19.4% prevalence rate among cattle in North Kordufan State. The highest and the lowest rate of infections were recorded in Shiekan and Elnnuhud, (15%) and (27.5%), respectively. Initially, univariate analysis using Chi-square test was conducted for the association between the potential risk factors and BTV infection. The results of the univariate analysis are presented in (Table ​(Table1).1). The results obtained from the univariable model were re-entered into a final multivariate model using logistic regression analysis. In the final models, a variable with a P-value <0.05 was considered statistically significant. The individual risk factors attributes indicated that older cattle (>2 years of age) were four times more likely to be infected with BTV (OR = 4.30, CI = 1.941-9.467, p-value = 0.01). Weak and emaciated cattle were almost 3 times more likely to be at risk for contracting BTV infection (OR = 2.925, CI = 1.146-7.606, p-value = 0.025). The management risk factor attributes showed that the preventive measures, such as routine application of insecticide in the selected herds and spraying or dipping decreased the odds for bluetongue seropositivity by 7 times compared to non sprayed cattle (OR = 7.408, CI = 3-111-17.637, p-value = 0.01). In contrast, there was no significant difference between BTV seropositive cattle and other individual or management risk factors included in the study such as, animal sex, animal source, grazing system, other animals in the herd, herd size, farm yard, milk production, history of diseases and localities. The results are shown in (Table ​(Table22)."
2087253,0,"Safety of test series of the bivalent live cultural vaccine against BTV Other than a relatively mild fever (40.3–40.8 °C) for 2–4 days and swelling at the site of vaccination which resolved within 2–3 days, the animals developed no clinical signs after vaccination (Table ​(Table2).2). These results indicate that this vaccine is generally safe for sheep."
2087253,1,"Reversion to virulence Both strains induced viremia in susceptible animals (Fig. ​(Fig.1).1). During the passages in sheep, the BTV titer was 1.16 ± 0.16 log10 TCID50/mL at the first passage, decreasing to 0.83 ± 0.08 and 0.92 ± 0.08 log10 TCID50/mL with subsequent passages (P ≤ 0.001) (10 total)."
2087253,2,"The attenuated virus showed no pathogenic properties after its intravenous administration to sheep, and all the animals remained healthy during the observation period (30 days)."
2087253,3,"Neutralizing antibody titers One week after vaccination, all the sheep had detectable levels of neutralizing antibodies, measured with a SNT, with mean titers (log10) ranging from 1.1 (for BTV-4) to 1.25 (for BTV-16) at 7 days after-vaccination (Fig. ​(Fig.2).2). Four weeks after vaccination, all the vaccinated animals had even higher levels of neutralizing antibodies: 4.0–4.8 log2 at 28 days and 1.8–2.0 log2 at 360 days (Fig. ​(Fig.22)."
2087253,4,The levels of NA in the sera of the immunized sheep differed significantly for both serotypes from day 7 to day 360 (P ≤ 0.0001).
2087253,5,"Group-specific antibody titers A graphical summary of the percentage inhibition (IP) results are given for each group in Fig. ​Fig.3.3. All sheep were seronegative before vaccination and the control sheep remained seronegative in all assays until challenge. After vaccination, the percentage inhibition decreased dramatically. The optical densities of specific antibodies decreased throughout the duration of the study, from IP < 8 ± 3.07 at day 28, to IP < 16.5 ± 4.95 at day 90, and IP < 46.25 ± 6.40 at day 360."
2087253,6,"Clinical protection following challenge Seven days after immunization, the animals developed protective immunity against BTV (Fig. ​(Fig.4a).4a). However, the vaccinated animals were insufficiently protected from challenge because they developed clinical signs of bluetongue, with an average score of 10 points. The unvaccinated control animals also developed clinical signs, with an average score of 20.8 points, so the difference in the mean scores was 10.8 points. At 14, 90, and 270 days after immunization, strong protective responses developed against BTV-4 and BTV-16 (Fig. 4b, c). The vaccinated animals showed a slight increase in body temperature after challenge, whereas the unvaccinated animals developed typical clinical signs of the disease. At 360 days after immunization, one vaccinated sheep showed an increase in body temperature of 41.5 °C for 2 days after challenge, which then returned to normal (Fig. ​(Fig.4d).4d). The vaccinated animals had an average clinical score of one point after challenge, whereas the unvaccinated animals had an average score of 27 points, indicating the high protective activity of the test vaccine."
761719,0,"Seroprevalence of bluetongue in west and northwest was shown in Table 1. The results showed that the seropositive rate in sheep over the whole study area was 40.87%. Presence of anti-bluetongue antibodies was found highest in west. The highest prevalence of antibodies was in West Azerbaijan (64.86%), and lower (23.77%) was in Ardabil (Table 1)."
921211,0,"BTV8ΔNS4 is attenuated in experimentally infected sheep. In a previous study, we showed that a BTV8 NS4 deletion mutant (BTV8ΔNS4) is as virulent as BTV8wt in experimental mouse models of infection (8). Here, we wanted to determine whether NS4 influenced virulence in sheep, the natural host of BTV infection. Therefore, we experimentally infected sheep with BTV8wt or BTV8ΔNS4. Sheep infected with BTV8wt showed an elevation of body temperature from day 6 to day 8 p.i. (Fig. 1, top). BTV RNA was detectable at day 4 p.i. and reached a plateau from days 6 to 10 p.i., followed by a slow decrease. Viremia remained detectable until the end of the experiment. In contrast, animals infected by BTV8ΔNS4 did not develop pyrexia and displayed a delayed onset and lower levels of viremia. BTV RNA was below the detection level in 4 of the 5 inoculated sheep at 4 weeks p.i., when the experiment was stopped (Fig. 1, middle). Between days 4 and 28 p.i., the average levels of BTV RNA were between 102- and 105-fold higher in sheep infected with BTV8wt than in those infected with BTV8ΔNS4. As expected, all BTV-infected animals developed neutralizing antibodies from day 7 p.i. (Fig. 1, bottom). Altogether, these data show that BTV8ΔNS4 is attenuated in sheep and suggest that NS4 is a virulence factor in vivo."
921211,1,"Replication kinetics of BTV8wt and BTV8ΔNS4 in primary ovine endothelial cells and human A549 cells. We showed previously that BTV8ΔNS4 replicates as efficiently as BTV8wt in immortalized cell lines, such as hamster BSR and sheep CPT-Tert cells (8), but these cell lines do not possess an intact IFN response to viral infections (44, 45). Hence, we compared the replication kinetics of BTV8wt and BTV8ΔNS4 in primary ovEC. BTV8wt reached titers approximately 20-fold higher than those of BTV8ΔNS4 at 72 h p.i. (Fig. 2A). Similarly, BTV8wt reached titers nearly 60-fold higher than those of BTV8ΔNS4 in the IFN-competent human cell line A549 (Fig. 2A). These data demonstrate that the presence of NS4 confers a replication advantage on BTV8 in cells that are capable of mounting an antiviral response."
