doc_id,result_id,text
822569,0,"3.1. Demographic features. Since the first report in 2003, 11 cases of imported melioidosis have been reported in South Korea. The mean age of the patients was 52.3 years, ranging from 32 years to 66 years. Ten patients (90.9%) were older than 45 years, and all patients were male. With regard to their occupations, the patients included businessmen (36.3%), construction workers (18.2%), welders (18.2%), engineers (9.1%), drivers (9.1%), and actors (9.1%). The demographic, epidemiologic, and clinical features of the patients are summarized in Table 1."
822569,1,"3.2. Epidemiologic features. All the patients had visited Southeast Asia, which is a traditional endemic region for melioidosis. The countries from which melioidosis were imported included Malaysia (27.3%), Thailand (27.3%), Cambodia (18.2%), Philippines (9.1%), Indonesia (9.1%), and Vietnam (9.1%). Domestic cases of melioidosis have never been reported in South Korea, based on previous epidemiological investigations, and so all cases are thought to be imported. Nine patients had stayed in the endemic region for >1 month. However, two patients developed melioidosis after a few days of travel to the endemic region. Four patients developed symptoms during their stay in the endemic region and were diagnosed with melioidosis after returning to South Korea. The remaining seven patients developed initial symptoms after returning to South Korea. Of these patients, the interval between returning to South Korea and symptom onset ranged from 1 day to 3 years. Seven patients had at least one risk factor for melioidosis. Diabetes mellitus was the most frequent risk factor (63.6%), followed by lung cancer (9.1%) and chronic kidney disease (9.1%)."
822569,2,"3.3. Clinical manifestations. Eight patients had acute infections (symptom duration of <2 months) and three had chronic infection (symptoms for > 2 months). Of these 11 patients seven (63.6%) presented with pneumonia, three (27.3%) with genitourinary infection, and one (9.1%) with soft tissue infection. Abscess formation was observed in the prostate in three patients, and in the spleen and liver in one patient. Three patients had septic shock on admission with evidence of organ dysfunction, all of whom underwent rapid progression of the disease and died. Nine patients were bacteremic. In the remaining two patients, B. pseudomallei grew in bronchoscopic washing and surgical specimen obtained by pulmonary lobectomy. Four patients died and seven patients survived without relapse."
822569,3,"Of the five patients reported since 2011, two patients showed unusual clinical manifestation. Case 1 had a coinfection with pulmonary tuberculosis and melioidosis. The patient initially presented with chronic cough, and Mycobacterium tuberculosis was cultured in a lung biopsy. The patient underwent antitubercular therapy. However, the cough persisted, and the patient underwent a left upper lobectomy more than a year after returning from the endemic region. The surgical specimen grew B. pseudomallei. Case 5 was the first melioidosis patient in South Korea presented with a mycotic aneurysm of the aorta. The patient initially developed dysuria and was diagnosed with a prostate abscess. Although fever subsided after the treatment, fever recurred about 50 days after its onset. The subsequent diagnostic workup revealed a mycotic aneurysm of the aorta. The patient underwent surgical treatment of the aneurysm, and blood and the surgical specimen grew B. pseudomallei."
435540,0,"The demographic sub-model was able to reproduce the past population structure of Thailand from 1980 to the present (see S2 Figure A). The parameters that characterized seasonal movement were estimated by fitting the model to the population movement data (see S2 Figure B). The model showed that majority of movements were made by Northeast individuals who moved to non-Northeast areas, approximately 13,600 persons per 100,000 population per month, or 34% of all movements within a month (see S1 Table A). Moreover, the majority of movements were among those aged between 15 and 60 years old, about 19,000 persons per 100,000 population per month, or 51% of all movements within a month (see S2 Figure C)."
435540,1,"The fitting performance is shown in Fig 2. Melioidosis cases occurred seasonally, with a peak in the wet season that lasted from May to October. The infection parameters that minimized the fit statistic, using the Bayesian method, are shown in Table 1. The highest infection rate was estimated to be 6 cases per 100,000 population per month among males aged 45–59 years old in the Northeast. The lowest rate was 0.4 cases per 100,000 population per month among females aged 15–44 years old in the non-Northeast region. Surprisingly, we found that the infection rate among the transient male population aged 15–44 years was higher than the non-Northeast population (0.8 compared with 0.08 per 100,000 persons per month). Overall 46% of melioidosis cases were symptomatic. Recovery rates for untreated symptomatic cases and asymptomatic patients were estimated by the model, with the average period of infection estimated at around 9 and 5 months, respectively. The susceptibility to melioidosis among DM population is 10.84 [95% CI 8.42–12.23] times greater than the non-DM population. If patients’ treatment failed and they developed severe melioidosis, they could die within two weeks. We estimated 80% and 50% under-reporting of cases in 2008–2009 and 2010–2015, respectively."
435540,2,"Projections of the numbers of melioidosis cases between 2015 and 2035 are given in Fig 3. Total melioidosis incidence per year was projected to increase by 70%, from 6,569 (4,834–8,701) in 2015 to 11,173 (8,207–14,773) in 2035. The largest increase of melioidosis was projected to occur among the population aged 45–59 years old. The predicted incidence among males was two-fold greater than that of females. The majority of melioidosis cases were seen to occur in the population from the Northeast region of Thailand. The predicted incidence among non-diabetic was two-fold greater than that of diabetic population."
435540,3,"In Fig 4, total melioidosis incidence rates were projected to increase by approximately 10% by 2035, from 11.42 (8.5–13.4) in 2015 to 12.78 (9.6–14.9) per 100,000 population in 2035 (see Table 2). The highest incidence rates were predicted to be among those aged between 45–59 years old, followed by those age 60 years old and above. The incidence was almost double among males compared with females in both Northeast and other regions. The incidence rate among the Northeast population was more than double compared with the transient population, and almost ten times higher when compared with the other regions. This study also highlighted the importance of melioidosis among the transient population who temporally live in the risk area but had almost six times higher incidence compared with other regional populations. From diabetes prospective, the incidence of melioidosis among diabetes was predicted to be as high as 60 per 100,000 population. To summary, the risk of melioidosis among the aging population with some chronic diseases such as diabetes is presenting an increasing trend. The risk of infection among transient population, who temporary get some disease exposure during the agricultural seasons, cannot be ignored."
2515873,0,"The melioidosis cohort consisted of 30 patients and 30 controls. Baseline characteristics are in Table 1. In the melioidosis cohort, 6,755 probes were differentially expressed (that is, either up or downregulated) representing 4632 unique genes. Annotation was available for 1,658 of these genes, of which 651 were upregulated and 1,007 were downregulated. The tuberculosis cohort consisted of 20 patients and 24 controls. In the tuberculosis cohort, 6911 probes differentially expressed (5045 unique genes). Annotation was available for 1985 of these genes, of which 847 were upregulated and 1138 were downregulated. In both the melioidosis and the tuberculosis cohorts, the signature seen was dominated by neutrophils, which formed the bulk of the circulating leukocytes. Multiple lymphocyte-related pathways were downregulated, but this reflects the fact that lymphocyte counts were low in both melioidosis and tuberculosis. Pathways associated with transcription and translation were also prominent, in keeping with the large number of genes differentially regulated in both melioidosis and tuberculosis."
2515873,1,"Pathway Analysis. Interferon-mediated responses were the dominant pathway seen in both melioidosis and in tuberculosis (p<0.0001 for both, Tables 2 & 3). Class 1 and class 2 interferons were prominent in both (Table 4). Of the immune-related pathways, TRAIL (TNF superfamily member 10), tumour necrosis factor α (TNFα), transforming growth factor β (TGF-β), interleukin (IL)-1, IL-2, IL-12, chemokine and Toll-like receptor (TLR) pathways were all differentially regulated (Tables 2 & 3). There was no gene signature that distinguished melioidosis from tuberculosis, and for each of the pathways differentially expressed in melioidosis, we were able to find a counterpart in tuberculosis (Tables 2 & 3). Berry et al. reported an 86-gene signature that was specific for tuberculosis [7]. This 86-gene signature was also present in melioidosis (Figure 1)."
