,Unnamed: 0,ID,TITLE,DOI,WEB
0,0,"""232756"",","""Learning auditory discriminations from observation is efficient but less robust than learning from experience"",","""10.1038/s41467-018-05422-y""",-
1,1,"""1789181"",","""A Spiking Neural Network Framework for Robust Sound Classification"",","""10.3389/fnins.2018.00836""",-
2,2,"""271920"",","""Learning and processing of nonverbal symbolic information in bilinguals and monolinguals"",","""10.3389/fpsyg.2014.01147""",-
3,3,"""922151"",","""Use of auditory learning to manage listening problems in children"",","""10.1098/rstb.2008.0187""",-
4,4,"""2617564"",","""Efficient Coding and Statistically Optimal Weighting of Covariance among Acoustic Attributes in Novel Sounds"",","""10.1371/journal.pone.0030845""",-
5,5,"""1911559"",","""Incidental learning in a multisensory environment across childhood"",","""10.1111/desc.12554""",-
6,6,"""1549985"",","""Reanalyzing neurocognitive data on the role of the motor system in speech perception within COSMO, a Bayesian perceptuo-motor model of speech communication"",","""10.1016/j.bandl.2017.12.003""",-
7,7,"""1787868"",","""How learning to abstract shapes neural sound representations"",","""10.3389/fnins.2014.00132""",-
8,8,"""1850528"",","""Learning, neural plasticity and sensitive periods: implications for language acquisition, music training and transfer across the lifespan"",","""10.3389/fnsys.2013.00090""",-
9,9,"""2098176"",","""Consequences of multilingualism for neural architecture"",","""10.1186/s12993-019-0157-z""",-
10,10,"""1789326"",","""How may the basal ganglia contribute to auditory categorization and speech perception?"",","""10.3389/fnins.2014.00230""",-
11,11,"""862470"",","""Body Perception and Action Following Deafness"",","""10.1155/2016/5260671""",-
12,12,"""268367"",","""Raspberry, not a car: context predictability and a phonological advantage in early and late learnersÂ processing of speech in noise"",","""10.3389/fpsyg.2014.01449""",-
13,13,"""1048975"",","""Recent advances in understanding the auditory cortex"",","""10.12688/f1000research.15580.1""",-
14,14,"""277855"",","""Musical Expertise and Statistical Learning of Musical and Linguistic Structures"",","""10.3389/fpsyg.2011.00167""",-
15,15,"""271124"",","""Training Children to Perceive Non-native Lexical Tones: Tone Language Background, Bilingualism, and Auditory-Visual Information"",","""10.3389/fpsyg.2018.01508""",-
16,16,"""264329"",","""Art and science: how musical training shapes the brain"",","""10.3389/fpsyg.2013.00713""",-
17,17,"""1303382"",","""Psychophysical Estimates of Frequency Discrimination: More than Just Limitations of Auditory Processing"",","""10.3390/brainsci3031023""",-
18,18,"""2521573"",","""Mismatch Response to Polysyllabic Nonwords: A Neurophysiological Signature of Language Learning Capacity"",","""10.1371/journal.pone.0006270""",-
19,19,"""2562735"",","""Distributional Vowel Training Is Less Effective for Adults than for Infants. A Study Using the Mismatch Response"",","""10.1371/journal.pone.0109806""",-
